ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
488;72845,20;Mini Tisch Kal. Tanne EV;7000
489;72833,00;Lindor 70% Kassette;10070
490;738990,00;Z VP Lindor BBH 71171;9000
491;920865,00;Z VP Lindor Kass. Kug. Mix 78171;10680
492;922553,00;Z VP FR.WEIH.KISSEN 72967;15000
493;72855,00;Mini-Kissenp.X-Mas weiss;9000
494;72945,00;Santa Geschenk Blau;9000
495;72918,00;EX FR Teddy Calendar IKEA;9780
496;77171,00;Lindor Baumbehang lose;336000
497;77151,00;Nougat Baumbehang lose;336000
498;71641,00;Lindor Kug.Milch C+C;7500
499;72293,00;Lindor Kugeln lose;300000
500;77211,00;Cresta Baumbehang lose;336000
501;70957,20;Weihnachtszauber T-AK EV;7000
502;70955,20;Weihnachtsmarkt T-AK EV;7000
503;70955,00;Weihnachtsmarkt T-AK EV;7000
504;70957,00;Weihnachtszauber T-AK EV;7000
505;71005,20;Lindor AK gold EV;5200
506;94761,20;Lindor AK EV;5200
507;70953,20;Weihnachtsmarkt AK EV;4000
508;70945,20;Wihnachtshelfer AK EV;3300
509;70895,10;Frohes Fest AK EV;11000
510;70895,20;Frohes Fest AK EV;7000
511;72845,10;Mini Tisch Kal. Tanne EV;11000
512;70905,20;Hello Santa AK EV;3500
513;734611,00; Z VP SchiebetÑfel. 75541;9840
514;72989,00;Kaufland Mini Kissen;15000
515;70913,20;Hello Tower AK EV;3500
516;70903,20;Hello AK EV;4500
517;922267,00;Z VP Lindor M.Multipack 10033;27600
518;922267,10;Z VP Lindor M.Multipack 10033;27600
519;922267,20;Z VP Lindor M.Multipack 10033;27600
520;72967,00;Frohe Weihn.Kissen;15000
521;72885,00;Grussk. Kugel grÅn;9000
522;72835,00;Teddy Kl. Adventskalender-KULECZARKA;7760
523;72985,00;Kaufland Adventskalender;7700
524;72949,00;Marzipan Doppeldreh lose;230000
525;13871,20;Lindor Winter Gift Dark 60% - kleiki;13632
526;13871,30;Lindor Winter Gift Dark 60% - kleiki;13632
527;922208,20;Z VP Lind. W.Gift Dark 60% - kleiki;13632
528;922208,30;Z VP Lind.W.Gift Dark 60% - kleiki;13632
529;13881,20;Lindor Winter Gift Dark 70% - kleiki;13632
